,treename,pred_pcr,pred_comp,PCR,competence,type,studies,ord,cat
335,Gulo,0.468617184,0.1462937,0,0,other,0,CARNIVORA,unsampled
336,Gymnuromys,0.153791244,0.107505923,0,0,other,0,RODENTIA,unsampled
337,Habromys,0.344907838,0.258634051,0,0,other,0,RODENTIA,unsampled
338,Hadromys,0.191507476,0.147875101,0,0,other,0,RODENTIA,unsampled
339,Haeromys,0.360093041,0.257488232,0,0,other,0,RODENTIA,unsampled
340,Halichoerus,0.276655173,0.03608863,0,0,other,0,CARNIVORA,unsampled
341,Halmaheramys,0.145693734,0.047633294,0,0,other,0,RODENTIA,unsampled
342,Handleyomys,0.291926004,0.26532484,0,0,other,0,RODENTIA,unsampled
343,Hapalemur,0.216915125,0.110189782,0,0,other,0,PRIMATES,unsampled
344,Hapalomys,0.231382431,0.162353955,0,0,other,0,RODENTIA,unsampled
345,Heimyscus,0.245602338,0.181044234,0,0,other,0,RODENTIA,unsampled
346,Helarctos,0.44108348,0.142998688,0,0,other,0,CARNIVORA,unsampled
347,Heliophobius,0.133907368,0.087154227,0,0,other,0,RODENTIA,unsampled
348,Heliosciurus,0.251389733,0.181255735,0,0,other,0,RODENTIA,unsampled
349,Helogale,0.227012267,0.10199256,0,0,other,0,CARNIVORA,unsampled
350,Hemiechinus,0.245246153,0.19058057,0,0,other,0,EULIPOTYPHLA,unsampled
351,Hemigalus,0.255835363,0.136586304,0,0,other,0,CARNIVORA,unsampled
352,Hemitragus,0.259238286,0.110475885,0,0,other,0,CETARTIODACTYLA,unsampled
353,Herpailurus,0.328839099,0.288088786,0,0,other,0,CARNIVORA,unsampled
354,Herpestes,0.322489278,0.199008319,0,0,other,0,CARNIVORA,unsampled
355,Heterocephalus,0.193643743,0.148282681,0,0,other,0,RODENTIA,unsampled
356,Heteromys,0.199006499,0.166833411,0,0,other,0,RODENTIA,unsampled
357,Heteropsomys,0.126457111,0.081530612,0,0,other,0,RODENTIA,unsampled
358,Hexolobodon,0.190221804,0.083460277,0,0,other,0,RODENTIA,unsampled
359,Hippidion,0.315637391,0.219645778,0,0,other,0,PERISSODACTYLA,unsampled
360,Hippocamelus,0.197448514,0.060794677,0,0,other,0,CETARTIODACTYLA,unsampled
361,Hippopotamus,0.244048319,0.211919301,0,0,other,0,CETARTIODACTYLA,unsampled
362,Hippotragus,0.205392534,0.162129463,0,0,other,0,CETARTIODACTYLA,unsampled
363,Histriophoca,0.171620088,0.033608843,0,0,other,0,CARNIVORA,unsampled
364,Hodomys,0.102222637,0.082300241,0,0,other,0,RODENTIA,unsampled
365,Holochilus,0.161273026,0.121668758,0,0,other,0,RODENTIA,unsampled
366,Homo,0.395089414,0.216800153,1,1,other,400,PRIMATES,positive
367,Homotherium,0.308994731,0.364990451,0,0,other,0,CARNIVORA,unsampled
368,Hoolock,0.409113904,0.145738072,0,0,other,0,PRIMATES,unsampled
369,Hoplomys,0.123398185,0.117405965,0,0,other,0,RODENTIA,unsampled
370,Hyaena,0.251997637,0.11658898,0,0,other,0,CARNIVORA,unsampled
371,Hybomys,0.29330243,0.188754484,0,0,other,0,RODENTIA,unsampled
372,Hydrochoerus,0.145485821,0.10096723,0,0,other,0,RODENTIA,unsampled
373,Hydromys,0.244521581,0.127580012,0,0,other,0,RODENTIA,unsampled
374,Hydropotes,0.129638063,0.065435891,0,0,other,0,CETARTIODACTYLA,unsampled
375,Hydrurga,0.2154079,0.030869294,0,0,other,0,CARNIVORA,unsampled
376,Hyemoschus,0.13589273,0.075010589,0,0,other,0,CETARTIODACTYLA,unsampled
377,Hyladelphys,0.278979801,0.289021403,0,0,other,0,DIDELPHIMORPHIA,unsampled
378,Hylaeamys,0.290666437,0.270850647,0,0,other,0,RODENTIA,unsampled
379,Hylobates,0.664028887,0.233179086,1,0,other,2,PRIMATES,positive
380,Hylochoerus,0.168579925,0.149160087,0,0,other,0,CETARTIODACTYLA,unsampled
381,Hylomys,0.2208457,0.110175178,0,0,other,0,EULIPOTYPHLA,unsampled
382,Hylomyscus,0.256851407,0.174823979,0,0,other,0,RODENTIA,unsampled
383,Hylopetes,0.278598424,0.270563435,0,0,other,0,RODENTIA,unsampled
384,Hyomys,0.246884393,0.122201871,0,0,other,0,RODENTIA,unsampled
385,Hyosciurus,0.264611734,0.145369223,0,0,other,0,RODENTIA,unsampled
386,Hyperacrius,0.180430214,0.102776725,0,0,other,0,RODENTIA,unsampled
387,Hyperoodon,0.267215338,0.031409282,0,0,other,0,CETARTIODACTYLA,unsampled
388,Hypogeomys,0.167695038,0.113238349,0,0,other,0,RODENTIA,unsampled
389,Hystrix,0.218412446,0.137687895,0,0,other,0,RODENTIA,unsampled
390,Ichneumia,0.215763848,0.084147607,0,0,other,0,CARNIVORA,unsampled
391,Ichthyomys,0.218297954,0.161675279,0,0,other,0,RODENTIA,unsampled
392,Ictidomys,0.179977571,0.149544175,0,0,other,0,RODENTIA,unsampled
393,Ictonyx,0.247347844,0.093391334,0,0,other,0,CARNIVORA,unsampled
394,Idiurus,0.1430276,0.072875349,0,0,other,0,RODENTIA,unsampled
395,Indopacetus,0.279969116,0.034931163,0,0,other,0,CETARTIODACTYLA,unsampled
396,Indri,0.249993795,0.112503069,0,0,other,0,PRIMATES,unsampled
397,Inia,0.294574039,0.036759744,0,0,other,0,CETARTIODACTYLA,unsampled
398,Iomys,0.183735034,0.214976375,0,0,other,0,RODENTIA,unsampled
399,Irenomys,0.1963848,0.216875404,0,0,other,0,RODENTIA,unsampled
400,Isolobodon,0.127956961,0.090476617,0,0,other,0,RODENTIA,unsampled
401,Isothrix,0.155133319,0.115318469,0,0,other,0,RODENTIA,unsampled
402,Isthmomys,0.204208143,0.209882086,0,0,other,0,RODENTIA,unsampled
403,Jaculus,0.184655723,0.131297823,0,0,other,0,RODENTIA,unsampled
404,Juliomys,0.328788881,0.204812285,0,0,other,0,RODENTIA,unsampled
405,Juscelinomys,0.130993911,0.128190197,0,0,other,0,RODENTIA,unsampled
406,Kadarsanomys,0.17307492,0.168100252,0,0,other,0,RODENTIA,unsampled
407,Kannabateomys,0.123941287,0.082415309,0,0,other,0,RODENTIA,unsampled
408,Kerodon,0.107937312,0.069019104,0,0,other,0,RODENTIA,unsampled
409,Kobus,0.187947533,0.083045684,0,0,other,0,CETARTIODACTYLA,unsampled
410,Kogia,0.314507955,0.314361254,0,0,other,0,CETARTIODACTYLA,unsampled
411,Komodomys,0.134827862,0.144200385,0,0,other,0,RODENTIA,unsampled
412,Kunsia,0.100389226,0.088058158,0,0,other,0,RODENTIA,unsampled
413,Lagenodelphis,0.31477535,0.024659442,0,0,other,0,CETARTIODACTYLA,unsampled
414,Lagenorhynchus,0.312223455,0.030979563,0,0,other,0,CETARTIODACTYLA,unsampled
415,Lagidium,0.160048811,0.093752186,0,0,other,0,RODENTIA,unsampled
416,Lagostomus,0.114816898,0.07423527,0,0,other,0,RODENTIA,unsampled
417,Lagothrix,0.490959142,0.17420372,0,0,other,0,PRIMATES,unsampled
418,Lagurus,0.415464435,0.201998645,0,0,other,0,RODENTIA,unsampled
419,Lama,0.714388956,0.41985443,1,1,other,6,CETARTIODACTYLA,positive
420,Lamottemys,0.173630602,0.106086981,0,0,other,0,RODENTIA,unsampled
421,Laonastes,0.194676085,0.1472189,0,0,other,0,RODENTIA,unsampled
422,Lariscus,0.283170435,0.202025511,0,0,other,0,RODENTIA,unsampled
423,Lasiopodomys,0.236379522,0.16373604,0,0,other,0,RODENTIA,unsampled
424,Leggadina,0.172969409,0.107388654,0,0,other,0,RODENTIA,unsampled
425,Leimacomys,0.124257277,0.097466955,0,0,other,0,RODENTIA,unsampled
426,Lemmiscus,0.229056389,0.143303862,0,0,other,0,RODENTIA,unsampled
427,Lemmus,0.188419661,0.13452736,0,0,other,0,RODENTIA,unsampled
428,Lemniscomys,0.231439505,0.181475211,0,0,other,0,RODENTIA,unsampled
429,Lemur,0.19264475,0.080605918,0,0,other,0,PRIMATES,unsampled
430,Lenomys,0.152187581,0.135414727,0,0,other,0,RODENTIA,unsampled
431,Lenothrix,0.152657566,0.138655142,0,0,other,0,RODENTIA,unsampled
432,Lenoxus,0.173602345,0.149899173,0,0,other,0,RODENTIA,unsampled
433,Leontocebus,0.200417051,0.287453484,0,1,other,2,PRIMATES,positive
434,Leontopithecus,0.171283981,0.132485576,0,0,other,0,PRIMATES,unsampled
435,Leopardus,0.354190869,0.36122718,0,1,other,1,CARNIVORA,positive
436,Leopoldamys,0.241155569,0.170305593,0,0,other,0,RODENTIA,unsampled
437,Lepilemur,0.150379399,0.107487553,0,0,other,0,PRIMATES,unsampled
438,Leporillus,0.112483698,0.068710528,0,0,other,0,RODENTIA,unsampled
439,Leptailurus,0.371024715,0.357732492,0,0,other,0,CARNIVORA,unsampled
440,Leptomys,0.240588403,0.146977794,0,0,other,0,RODENTIA,unsampled
441,Leptonychotes,0.180799127,0.03755468,0,0,other,0,CARNIVORA,unsampled
442,Lepus,0.184468625,0.132694867,0,0,other,0,LAGOMORPHA,unsampled
443,Lestodelphys,0.186375915,0.15991646,0,0,other,0,DIDELPHIMORPHIA,unsampled
444,Liberiictis,0.182273955,0.073064435,0,0,other,0,CARNIVORA,unsampled
445,Limnomys,0.25607987,0.192935637,0,0,other,0,RODENTIA,unsampled
446,Liomys,0.199006499,0.166833411,0,0,other,0,RODENTIA,unsampled
447,Lipotes,0.311474175,0.040228048,0,0,other,0,CETARTIODACTYLA,unsampled
448,Lissodelphis,0.307885297,0.027614876,0,0,other,0,CETARTIODACTYLA,unsampled
449,Litocranius,0.19394107,0.085557931,0,0,other,0,CETARTIODACTYLA,unsampled
450,Lobodon,0.211249851,0.028518616,0,0,other,0,CARNIVORA,unsampled
451,Lonchothrix,0.103538558,0.093171912,0,0,other,0,RODENTIA,unsampled
452,Lontra,0.237816165,0.159585608,0,0,other,0,CARNIVORA,unsampled
453,Lophiomys,0.165342094,0.082841633,0,0,other,0,RODENTIA,unsampled
454,Lophocebus,0.341905641,0.125522434,0,0,other,0,PRIMATES,unsampled
455,Lophuromys,0.201962899,0.122174958,0,0,other,0,RODENTIA,unsampled
456,Lorentzimys,0.29854447,0.179430781,0,0,other,0,RODENTIA,unsampled
457,Loris,0.218379029,0.150412007,0,0,other,0,PRIMATES,unsampled
458,Loxodonta,0.582803933,0.705137185,1,1,other,4,PROBOSCIDEA,positive
459,Loxodontomys,0.18621202,0.135205244,0,0,other,0,RODENTIA,unsampled
460,Lundomys,0.127625973,0.095652955,0,0,other,0,RODENTIA,unsampled
461,Lutra,0.256948902,0.159672587,0,0,other,0,CARNIVORA,unsampled
462,Lutreolina,0.30699741,0.366265252,0,0,other,0,DIDELPHIMORPHIA,unsampled
463,Lutrogale,0.350796598,0.281033189,0,0,other,0,CARNIVORA,unsampled
464,Lycaon,0.354384415,0.269196337,0,0,other,0,CARNIVORA,unsampled
465,Lyncodon,0.329020504,0.150340763,0,0,other,0,CARNIVORA,unsampled
466,Lynx,0.480110192,0.402734674,1,0,other,34,CARNIVORA,positive
467,Macaca,0.555378566,0.405936162,1,1,other,8,PRIMATES,positive
468,Macrogalidia,0.24582609,0.163698038,0,0,other,0,CARNIVORA,unsampled
469,Macrotarsomys,0.202322489,0.179383975,0,0,other,0,RODENTIA,unsampled
470,Macruromys,0.166906207,0.131023826,0,0,other,0,RODENTIA,unsampled
471,Madoqua,0.193278848,0.089031416,0,0,other,0,CETARTIODACTYLA,unsampled
472,Madromys,0.273227412,0.125089357,0,0,other,0,RODENTIA,unsampled
473,Makalata,0.123519221,0.107323648,0,0,other,0,RODENTIA,unsampled
474,Malacomys,0.183186807,0.172410273,1,0,other,1,RODENTIA,positive
475,Malacothrix,0.158073164,0.084427677,0,0,other,0,RODENTIA,unsampled
476,Mallomys,0.206080873,0.117023572,0,0,other,0,RODENTIA,unsampled
477,Malpaisomys,0.107584443,0.09471158,0,0,other,0,RODENTIA,unsampled
478,Mammelomys,0.202330784,0.127311291,0,0,other,0,RODENTIA,unsampled
479,Mammut,0.459037357,0.592435553,0,0,other,0,PROBOSCIDEA,unsampled
480,Mammuthus,0.423362782,0.555550796,0,0,other,0,PROBOSCIDEA,unsampled
481,Mandrillus,0.349950244,0.10983666,0,0,other,0,PRIMATES,unsampled
482,Margaretamys,0.14493107,0.148155838,0,0,other,0,RODENTIA,unsampled
483,Marmosa,0.242674967,0.243263048,0,0,other,0,DIDELPHIMORPHIA,unsampled
484,Marmosops,0.316519483,0.251177946,0,0,other,0,DIDELPHIMORPHIA,unsampled
485,Marmota,0.514336442,0.269272477,1,0,other,1,RODENTIA,positive
486,Martes,0.309724452,0.203973739,0,0,other,0,CARNIVORA,unsampled
487,Massoutiera,0.176375844,0.143291524,0,0,other,0,RODENTIA,unsampled
488,Mastacomys,0.211750574,0.178318371,0,0,other,0,RODENTIA,unsampled
489,Mastomys,0.212402827,0.268195303,0,0,other,0,RODENTIA,unsampled
490,Maxomys,0.284105143,0.269708773,0,0,other,0,RODENTIA,unsampled
491,Mazama,0.240772949,0.131802658,0,0,other,0,CETARTIODACTYLA,unsampled
492,Megadendromus,0.17790208,0.128349834,0,0,other,0,RODENTIA,unsampled
493,Megadontomys,0.214584387,0.131224118,0,0,other,0,RODENTIA,unsampled
494,Megaladapis,0.178685968,0.086990289,0,0,other,0,PRIMATES,unsampled
495,Megaloceros,0.199513985,0.122626533,0,0,other,0,CETARTIODACTYLA,unsampled
496,Megalomys,0.1567428,0.1186426,0,0,other,0,RODENTIA,unsampled
497,Megaoryzomys,0.147677869,0.107075066,0,0,other,0,RODENTIA,unsampled
498,Megaptera,0.379674092,0.035952307,0,0,other,0,CETARTIODACTYLA,unsampled
499,Megasorex,0.250926917,0.135743663,0,0,other,0,EULIPOTYPHLA,unsampled
500,Melanomys,0.248529615,0.186360964,0,0,other,0,RODENTIA,unsampled
501,Melasmothrix,0.250949462,0.15109689,0,0,other,0,RODENTIA,unsampled
502,Meles,0.295683129,0.143001085,0,0,other,0,CARNIVORA,unsampled
503,Mellivora,0.296984371,0.175921475,0,0,other,0,CARNIVORA,unsampled
504,Melogale,0.304102651,0.168418003,0,0,other,0,CARNIVORA,unsampled
505,Melomys,0.214139286,0.141479747,0,0,other,0,RODENTIA,unsampled
506,Melursus,0.423717177,0.118563701,0,0,other,0,CARNIVORA,unsampled
507,Menetes,0.173081894,0.120931934,0,0,other,0,RODENTIA,unsampled
508,Mephitis,0.298252316,0.325997698,1,1,other,4,CARNIVORA,positive
509,Meriones,0.240413634,0.442530433,0,1,other,1,RODENTIA,positive
510,Mesechinus,0.182589312,0.150877359,0,0,other,0,EULIPOTYPHLA,unsampled
511,Mesembriomys,0.225502967,0.187221276,0,0,other,0,RODENTIA,unsampled
512,Mesocapromys,0.173330274,0.101402645,0,0,other,0,RODENTIA,unsampled
513,Mesocricetus,0.246677951,0.290831529,0,0,other,0,RODENTIA,unsampled
514,Mesomys,0.147978504,0.121035172,0,0,other,0,RODENTIA,unsampled
515,Mesoplodon,0.243515205,0.030342008,0,0,other,0,CETARTIODACTYLA,unsampled
516,Metachirus,0.223009335,0.244149083,0,0,other,0,DIDELPHIMORPHIA,unsampled
517,Mico,0.247077484,0.230821902,0,0,other,0,PRIMATES,unsampled
518,Microakodontomys,0.238646183,0.111949046,0,0,other,0,RODENTIA,unsampled
519,Microcavia,0.286753355,0.138603395,0,0,other,0,RODENTIA,unsampled
520,Microcebus,0.201696844,0.158754793,0,0,other,0,PRIMATES,unsampled
521,Microdillus,0.18163291,0.138070329,0,0,other,0,RODENTIA,unsampled
522,Microdipodops,0.304805464,0.203297668,0,0,other,0,RODENTIA,unsampled
523,Microhydromys,0.284535964,0.155493889,0,0,other,0,RODENTIA,unsampled
524,Micromys,0.549387676,0.399929921,1,0,other,2,RODENTIA,positive
525,Microryzomys,0.309005819,0.150675055,0,0,other,0,RODENTIA,unsampled
526,Microsciurus,0.252649854,0.181383128,0,0,other,0,RODENTIA,unsampled
527,Microtus,0.458323081,0.352271063,1,1,other,69,RODENTIA,positive
528,Millardia,0.195677676,0.206250216,0,0,other,0,RODENTIA,unsampled
529,Mindomys,0.303380491,0.238330552,0,0,other,0,RODENTIA,unsampled
530,Miopithecus,0.249892483,0.088408516,0,0,other,0,PRIMATES,unsampled
531,Miracinonyx,0.253974736,0.390886037,0,0,other,0,CARNIVORA,unsampled
532,Mirounga,0.170152067,0.032907465,0,0,other,0,CARNIVORA,unsampled
533,Mirza,0.151518636,0.097095435,0,0,other,0,PRIMATES,unsampled
534,Mirzamys,0.354547606,0.156924876,0,0,other,0,RODENTIA,unsampled
535,Mogera,0.179849236,0.163365577,0,0,other,0,EULIPOTYPHLA,unsampled
536,Monachus,0.23479173,0.040699219,0,0,other,0,CARNIVORA,unsampled
537,Monodelphis,0.393252785,0.372162553,1,0,other,1,DIDELPHIMORPHIA,positive
538,Monodon,0.347931072,0.084312159,0,0,other,0,CETARTIODACTYLA,unsampled
539,Monticolomys,0.325588473,0.232253066,0,0,other,0,RODENTIA,unsampled
540,Moschiola,0.186328913,0.118002332,0,0,other,0,CETARTIODACTYLA,unsampled
541,Moschus,0.193921929,0.095596651,0,0,other,0,CETARTIODACTYLA,unsampled
542,Mungos,0.213883603,0.079175086,1,0,other,1,CARNIVORA,positive
543,Mungotictis,0.279898115,0.122253061,0,0,other,0,CARNIVORA,unsampled
544,Muntiacus,0.257253109,0.120235946,0,0,other,0,CETARTIODACTYLA,unsampled
545,Muriculus,0.233917032,0.118821555,0,0,other,0,RODENTIA,unsampled
546,Mus,0.562062925,0.541905968,1,1,other,45,RODENTIA,positive
547,Muscardinus,0.299102461,0.242002758,0,0,other,0,RODENTIA,unsampled
548,Musseromys,0.174357363,0.064834158,0,0,other,0,RODENTIA,unsampled
549,Mustela,0.335770446,0.200290755,0,0,other,0,CARNIVORA,unsampled
550,Mydaus,0.206330217,0.137459369,0,0,other,0,CARNIVORA,unsampled
551,Mylodon,0.302803193,0.433013783,0,0,other,0,PILOSA,unsampled
552,Mylomys,0.161281783,0.100596443,0,0,other,0,RODENTIA,unsampled
553,Myocastor,0.138935518,0.137630792,0,0,other,0,RODENTIA,unsampled
554,Myodes,0.506211691,0.442111589,1,1,other,28,RODENTIA,positive
555,Myomimus,0.319283601,0.257865177,0,0,other,0,RODENTIA,unsampled
556,Myomyscus,0.163426706,0.139707417,0,0,other,0,RODENTIA,unsampled
557,Myoprocta,0.194312614,0.129026229,0,0,other,0,RODENTIA,unsampled
558,Myopus,0.358141679,0.253259339,0,0,other,0,RODENTIA,unsampled
559,Myosciurus,0.142908475,0.073930521,0,0,other,0,RODENTIA,unsampled
560,Myosorex,0.370340878,0.136054324,0,0,other,0,EULIPOTYPHLA,unsampled
561,Myospalax,0.150038681,0.134052933,0,0,other,0,RODENTIA,unsampled
562,Myotragus,0.119810519,0.063668665,0,0,other,0,CETARTIODACTYLA,unsampled
563,Myrmecophaga,0.249036876,0.364969236,0,1,other,2,PILOSA,positive
564,Mysateles,0.158126728,0.099936239,0,0,other,0,RODENTIA,unsampled
565,Mystromys,0.154379199,0.150158876,0,0,other,0,RODENTIA,unsampled
566,Naemorhedus,0.260307751,0.095267925,0,0,other,0,CETARTIODACTYLA,unsampled
567,Nandinia,0.19879562,0.097426699,0,0,other,0,CARNIVORA,unsampled
568,Nanger,0.199798619,0.07934233,0,0,other,0,CETARTIODACTYLA,unsampled
569,Nannosciurus,0.225318005,0.144751569,0,0,other,0,RODENTIA,unsampled
570,Napaeozapus,0.209152013,0.161149513,0,0,other,0,RODENTIA,unsampled
571,Nasalis,0.388134731,0.154289549,0,0,other,0,PRIMATES,unsampled
572,Nasua,0.337955798,0.167762327,0,0,other,0,CARNIVORA,unsampled
573,Nasuella,0.212100664,0.089962428,0,0,other,0,CARNIVORA,unsampled
574,Neacomys,0.453568164,0.324164462,0,0,other,0,RODENTIA,unsampled
575,Necromys,0.256402637,0.149524019,0,0,other,0,RODENTIA,unsampled
576,Nectogale,0.263095177,0.173811039,0,0,other,0,EULIPOTYPHLA,unsampled
577,Nectomys,0.258234163,0.215585219,0,0,other,0,RODENTIA,unsampled
578,Nelsonia,0.105784199,0.085539044,0,0,other,0,RODENTIA,unsampled
579,Neodon,0.218932687,0.16434208,0,0,other,0,RODENTIA,unsampled
580,Neofelis,0.478602493,0.60108791,0,0,other,0,CARNIVORA,unsampled
581,Neofiber,0.138741127,0.083832808,0,0,other,0,RODENTIA,unsampled
582,Neohylomys,0.13886531,0.108309767,0,0,other,0,EULIPOTYPHLA,unsampled
583,Neomonachus,0.242510674,0.041779934,0,0,other,0,CARNIVORA,unsampled
584,Neomys,0.346117767,0.261596854,0,0,other,0,EULIPOTYPHLA,unsampled
585,Neophoca,0.407914308,0.039376734,0,0,other,0,CARNIVORA,unsampled
586,Neophocaena,0.276161598,0.040762513,0,0,other,0,CETARTIODACTYLA,unsampled
587,Neotetracus,0.224855226,0.210222519,0,0,other,0,EULIPOTYPHLA,unsampled
588,Neotoma,0.191287687,0.174622632,0,0,other,0,RODENTIA,unsampled
589,Neotomodon,0.281499111,0.208116007,0,0,other,0,RODENTIA,unsampled
590,Neotomys,0.15572676,0.117185961,0,0,other,0,RODENTIA,unsampled
591,Neotragus,0.11010976,0.05886784,0,0,other,0,CETARTIODACTYLA,unsampled
592,Neovison,0.190270882,0.082694719,0,0,other,0,CARNIVORA,unsampled
593,Nephelomys,0.307258229,0.238147142,0,0,other,0,RODENTIA,unsampled
594,Nesokia,0.299771696,0.23889232,0,0,other,0,RODENTIA,unsampled
595,Nesolagus,0.26887266,0.157565526,0,0,other,0,LAGOMORPHA,unsampled
596,Nesomys,0.1802205,0.124033951,0,0,other,0,RODENTIA,unsampled
597,Nesophontes,0.121038182,0.09093218,0,0,other,0,EULIPOTYPHLA,unsampled
598,Nesoromys,0.293909768,0.247819,0,0,other,0,RODENTIA,unsampled
599,Nesoryzomys,0.252607625,0.208101914,0,0,other,0,RODENTIA,unsampled
600,Nesotragus,0.153765253,0.079997315,0,0,other,0,CETARTIODACTYLA,unsampled
601,Neurotrichus,0.21212946,0.107100533,0,0,other,0,EULIPOTYPHLA,unsampled
602,Neusticomys,0.207120703,0.156217238,0,0,other,0,RODENTIA,unsampled
603,Nilgiritragus,0.260538339,0.114713233,0,0,other,0,CETARTIODACTYLA,unsampled
604,Nilopegamys,0.165273182,0.100349934,0,0,other,0,RODENTIA,unsampled
605,Niviventer,0.320693878,0.31461377,0,0,other,0,RODENTIA,unsampled
606,Nomascus,0.523842654,0.201687696,0,0,other,0,PRIMATES,unsampled
607,Noronhomys,0.140984026,0.129708852,0,0,other,0,RODENTIA,unsampled
608,Nothrotheriops,0.268253662,0.288112695,0,0,other,0,PILOSA,unsampled
609,Notiomys,0.194212026,0.110452739,0,0,other,0,RODENTIA,unsampled
610,Notiosorex,0.333291766,0.184124057,0,0,other,0,EULIPOTYPHLA,unsampled
611,Notocitellus,0.299766276,0.308373938,0,0,other,0,RODENTIA,unsampled
612,Notomys,0.14293193,0.130942838,0,0,other,0,RODENTIA,unsampled
613,Nyctereutes,0.196511878,0.180903035,0,0,other,0,CARNIVORA,unsampled
614,Nycticebus,0.377939378,0.253446049,0,0,other,0,PRIMATES,unsampled
615,Nyctomys,0.215302806,0.170878528,0,0,other,0,RODENTIA,unsampled
616,Ochotona,0.169839952,0.114475193,0,0,other,0,LAGOMORPHA,unsampled
617,Ochrotomys,0.294978226,0.170061448,0,0,other,0,RODENTIA,unsampled
618,Octodon,0.251286215,0.222700237,0,0,other,0,RODENTIA,unsampled
619,Octodontomys,0.161351747,0.080222138,0,0,other,0,RODENTIA,unsampled
620,Octomys,0.121536721,0.109625392,0,0,other,0,RODENTIA,unsampled
621,Odobenus,0.346567893,0.376720762,0,0,other,0,CARNIVORA,unsampled
622,Odocoileus,0.21368502,0.074549268,0,0,other,0,CETARTIODACTYLA,unsampled
623,Oecomys,0.287325335,0.207221868,0,0,other,0,RODENTIA,unsampled
624,Oenomys,0.162864657,0.116438533,0,0,other,0,RODENTIA,unsampled
625,Okapia,0.430030061,0.530908922,0,1,other,2,CETARTIODACTYLA,positive
626,Olallamys,0.18540869,0.10142066,0,0,other,0,RODENTIA,unsampled
627,Oligoryzomys,0.535439026,0.351038602,1,0,other,1,RODENTIA,positive
628,Ommatophoca,0.218683098,0.028386659,0,0,other,0,CARNIVORA,unsampled
629,Ondatra,0.119022596,0.107943756,0,0,other,0,RODENTIA,unsampled
630,Onychomys,0.185407698,0.11678983,0,0,other,0,RODENTIA,unsampled
631,Orcaella,0.315589233,0.041980147,0,0,other,0,CETARTIODACTYLA,unsampled
632,Orcinus,0.596939918,0.139734448,0,0,other,0,CETARTIODACTYLA,unsampled
633,Oreamnos,0.124175008,0.053642348,0,0,other,0,CETARTIODACTYLA,unsampled
634,Oreonax,0.457150511,0.191980425,0,0,other,0,PRIMATES,unsampled
635,Oreoryzomys,0.267866024,0.239706305,0,0,other,0,RODENTIA,unsampled
636,Oreotragus,0.147692648,0.056260397,0,0,other,0,CETARTIODACTYLA,unsampled
637,Orthogeomys,0.216645873,0.124191039,0,0,other,0,RODENTIA,unsampled
638,Oryctolagus,0.267904563,0.233895212,1,1,other,8,LAGOMORPHA,positive
639,Oryx,0.214558857,0.129442475,0,0,other,0,CETARTIODACTYLA,unsampled
640,Oryzomys,0.289190278,0.234045355,0,0,other,0,RODENTIA,unsampled
641,Osgoodomys,0.316383514,0.286581386,0,0,other,0,RODENTIA,unsampled
642,Otaria,0.210037296,0.03601823,0,0,other,0,CARNIVORA,unsampled
643,Otocolobus,0.419210942,0.421385927,0,0,other,0,CARNIVORA,unsampled
644,Otocyon,0.142844644,0.081745378,0,0,other,0,CARNIVORA,unsampled
645,Otolemur,0.246152409,0.184720369,0,0,other,0,PRIMATES,unsampled
646,Otomys,0.201653354,0.108071191,0,0,other,0,RODENTIA,unsampled
647,Otonyctomys,0.11982881,0.104596555,0,0,other,0,RODENTIA,unsampled
648,Otospermophilus,0.26396846,0.219146855,0,0,other,0,RODENTIA,unsampled
649,Ototylomys,0.201055876,0.133564059,0,0,other,0,RODENTIA,unsampled
650,Ourebia,0.211647689,0.098645667,0,0,other,0,CETARTIODACTYLA,unsampled
651,Ovibos,0.241913123,0.144296969,0,0,other,0,CETARTIODACTYLA,unsampled
652,Ovis,0.289968662,0.120172642,0,0,other,0,CETARTIODACTYLA,unsampled
653,Oxymycterus,0.223387396,0.149972991,0,0,other,0,RODENTIA,unsampled
654,Ozotoceros,0.212988784,0.128050828,0,0,other,0,CETARTIODACTYLA,unsampled
655,Pachyuromys,0.190119221,0.154474528,0,0,other,0,RODENTIA,unsampled
656,Pagophilus,0.18509751,0.039793718,0,0,other,0,CARNIVORA,unsampled
657,Paguma,0.332779217,0.191735388,0,0,other,0,CARNIVORA,unsampled
658,Palaeopropithecus,0.211825108,0.090585792,0,0,other,0,PRIMATES,unsampled
659,Palawanomys,0.136188372,0.1598662,0,0,other,0,RODENTIA,unsampled
660,Pan,0.658619051,0.149144275,1,0,other,21,PRIMATES,positive
661,Panthera,0.501507524,0.71014203,0,1,other,1,CARNIVORA,positive
662,Pantholops,0.137189016,0.079822849,0,0,other,0,CETARTIODACTYLA,unsampled
663,Papagomys,0.141300412,0.128110772,0,0,other,0,RODENTIA,unsampled
664,Papio,0.459761396,0.158704986,0,0,other,0,PRIMATES,unsampled
665,Pappogeomys,0.173524586,0.079717979,0,0,other,0,RODENTIA,unsampled
666,Paracrocidura,0.309451071,0.121641783,0,0,other,0,EULIPOTYPHLA,unsampled
667,Paracynictis,0.209768847,0.066663527,0,0,other,0,CARNIVORA,unsampled
668,Paradipus,0.127292222,0.154139148,0,0,other,0,RODENTIA,unsampled
669,Paradoxurus,0.390169331,0.260637174,0,0,other,0,CARNIVORA,unsampled
